year,country,occ,occ_dp,move,comm,comm_t,phys,skill,age,family,mwage,uwage,pwage,pwage_r,bwage,bwage_r,hours,temp,cond_l,cond_c,strike,relig,othwork,iap,attend,freq,proof,firsan,firsan_d,firsan_r,secsan,secsan_d,secsan_r,thirsan,thirsan_d,thirsan_r,fursan,fursan_d,fursan_r,volsan,volsan_d,volsan_r,attsan,attsan_d,attsan_r,actsan,actsan_d,actsan_r,cntry,occup,wage,oth,jsr,vol,ref,rep,fail,conditionality,conditions,sanctions
1980,Australia,Permitted period,6,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,0,0,0,1,2,1,0,12,1,,,,,,,,,,0,12,1,999,,1,,,,Australia,5,4,3,4,4,4,1,0,.5,.66666669,.375
1981,Australia,Permitted period,6,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,0,0,0,1,2,1,0,12,1,,,,,,,,,,0,12,1,999,,1,,,,Australia,5,4,3,4,4,4,1,0,.5,.66666669,.375
1982,Australia,Permitted period,6,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,0,0,0,1,2,1,0,12,1,,,,,,,,,,0,12,1,999,,1,,,,Australia,5,4,3,4,4,4,1,0,.5,.66666669,.375
1983,Australia,Permitted period,6,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,0,0,0,1,2,1,0,12,1,,,,,,,,,,0,12,1,999,,1,,,,Australia,5,4,3,4,4,4,1,0,.5,.66666669,.375
1984,Australia,Permitted period,6,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,0,0,0,1,2,1,0,12,1,,,,,,,,,,0,12,1,999,,1,,,,Australia,5,4,3,4,4,4,1,0,.5,.66666669,.375
1985,Australia,Permitted period,6,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,0,0,0,1,2,1,0,12,1,,,,,,,,,,0,12,1,999,,1,,,,Australia,5,4,3,4,4,4,1,0,.5,.66666669,.375
1986,Australia,Permitted period,6,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,0,0,0,1,2,1,0,12,1,,,,,,,,,,0,12,1,999,,1,0,12,1,Australia,5,4,3,4,4,4,1,5,.62360954,.66666669,.58333331
1987,Australia,Permitted period,6,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,0,0,0,1,2,1,0,2,1,0,4,1,0,6,1,0,12,1,0,2,1,999,,1,0,2,1,Australia,5,4,3,4,1,2,5,2,.52704626,.66666669,.41666666
1988,Australia,Permitted period,6,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,0,0,0,1,2,1,0,2,1,0,4,1,0,6,1,0,12,1,0,2,1,999,,1,0,2,1,Australia,5,4,3,4,1,2,5,2,.52704626,.66666669,.41666666
1989,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,0,0,0,1,2,1,0,2,1,0,4,1,0,6,1,0,12,1,0,2,1,999,,1,0,2,1,Australia,6,4,3,4,1,2,5,2,.54326689,.70833331,.41666666
1990,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,0,0,0,1,2,1,0,2,1,0,8,1,0,14,1,1,,1,0,2,1,0,2,1,0,2,1,Australia,6,4,3,4,1,2,6,2,.56978309,.70833331,.45833334
1991,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,0,0,1,1,2,1,0,2,1,0,8,1,0,14,1,1,,1,0,2,1,0,2,1,0,2,1,Australia,6,4,3,5,1,2,6,2,.58630198,.75,.45833334
1992,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,0,0,1,1,2,1,0,2,1,0,8,1,0,14,1,1,,1,0,2,1,0,2,1,0,2,1,Australia,6,4,3,5,1,2,6,2,.58630198,.75,.45833334
1993,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,0,0,1,1,2,1,0,2,1,0,8,1,0,14,1,1,,1,0,2,1,0,2,1,0,2,1,Australia,6,4,3,5,1,2,6,2,.58630198,.75,.45833334
1994,Australia,No right to refuse,0,,1,3,1,1,1,0,1,1,0,.a,0,.a,0,0,0,1,0,0,0,1,1,2,1,0,2,1,0,8,1,0,14,1,1,,1,0,2,1,0,2,1,0,2,1,Australia,6,4,4,5,2,2,6,2,.62915289,.79166669,.5
1995,Australia,No right to refuse,0,,1,3,1,1,1,0,1,1,0,.a,0,.a,0,0,0,1,0,0,0,1,1,2,1,0,2,1,0,8,1,0,14,1,1,,1,0,2,1,0,2,1,0,2,1,Australia,6,4,4,5,2,2,6,2,.62915289,.79166669,.5
1996,Australia,No right to refuse,0,,1,3,1,1,1,0,1,1,0,.a,0,.a,0,0,0,1,0,0,0,2,1,2,1,0,2,1,0,8,1,0,14,1,1,,1,0,2,1,0,13,.16,0,13,.16,Australia,6,4,4,6,2,2,6,2,.6454972,.83333331,.5
1997,Australia,No right to refuse,0,,1,3,1,1,1,0,1,1,0,.a,0,.a,0,0,0,1,0,0,0,2,1,2,1,0,26,.18,0,26,.24,0,8,1,0,8,1,0,26,.18,0,13,.16,0,13,.16,Australia,6,4,4,6,1,3,4,2,.58925563,.83333331,.41666666
1998,Australia,No right to refuse,0,,1,3,1,1,1,0,1,1,0,.a,0,.a,0,0,0,1,0,0,0,2,1,2,1,0,26,.18,0,26,.24,0,8,1,0,8,1,0,26,.18,0,13,.16,0,13,.16,Australia,6,4,4,6,1,3,4,2,.58925563,.83333331,.41666666
1999,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,0,0,2,1,2,1,0,26,.18,0,26,.24,0,8,1,0,8,1,0,26,.18,0,13,.16,0,13,.16,Australia,6,4,3,6,1,3,4,2,.57433534,.79166669,.41666666
2000,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,1,0,2,1,2,1,0,26,.18,0,26,.24,0,8,1,0,8,1,0,26,.18,0,13,.16,0,13,.16,Australia,6,4,3,6,1,3,4,2,.57433534,.79166669,.41666666
2001,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,1,0,2,1,2,1,0,26,.18,0,26,.24,0,8,1,0,8,1,0,26,.18,0,13,.16,0,13,.16,Australia,6,4,3,6,1,3,4,2,.57433534,.79166669,.41666666
2002,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,1,0,2,1,2,1,0,26,.18,0,26,.24,0,8,1,0,8,1,0,26,.18,0,13,.16,0,13,.16,Australia,6,4,3,6,1,3,4,2,.57433534,.79166669,.41666666
2003,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,1,0,2,1,2,1,0,26,.18,0,26,.24,0,8,1,0,8,1,0,26,.18,0,13,.16,0,13,.16,Australia,6,4,3,6,1,3,4,2,.57433534,.79166669,.41666666
2004,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,0,1,0,1,0,2,1,2,1,0,26,.18,0,26,.24,0,8,1,0,8,1,0,26,.18,0,13,.16,0,13,.16,Australia,6,4,3,6,1,3,4,2,.57433534,.79166669,.41666666
2005,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,1,0,0,1,0,2,1,2,1,0,8,1,,,,,,,,,,0,8,1,0,13,.16,0,13,.16,Australia,6,4,3,6,2,3,1,2,.51370114,.79166669,.33333334
2006,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,1,0,0,1,0,2,1,2,1,0,8,1,,,,,,,,,,0,8,1,0,13,.16,0,13,.16,Australia,6,4,3,6,2,3,1,2,.51370114,.79166669,.33333334
2007,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,1,0,0,1,0,2,1,2,1,0,8,1,,,,,,,,,,0,8,1,0,13,.16,0,13,.16,Australia,6,4,3,6,2,3,1,2,.51370114,.79166669,.33333334
2008,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,1,0,0,1,0,2,1,2,1,0,8,1,,,,,,,,,,0,8,1,0,13,.16,0,13,.16,Australia,6,4,3,6,2,3,1,2,.51370114,.79166669,.33333334
2009,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,1,0,0,1,0,2,1,2,1,0,8,1,,,,,,,,,,0,8,1,999,,1,999,,1,Australia,6,4,3,6,2,3,1,1,.48052344,.79166669,.29166666
2010,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,1,0,0,1,0,2,1,2,1,0,8,1,,,,,,,,,,0,8,1,999,,1,999,,1,Australia,6,4,3,6,2,3,1,1,.48052344,.79166669,.29166666
2011,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,1,0,0,1,0,2,1,2,1,0,8,1,,,,,,,,,,0,8,1,999,,1,999,,1,Australia,6,4,3,6,2,3,1,1,.48052344,.79166669,.29166666
2012,Australia,No right to refuse,0,,1,3,1,1,1,1,1,1,0,.a,0,.a,0,0,1,0,0,1,0,2,1,2,1,0,8,1,,,,,,,,,,0,8,1,999,,1,999,,1,Australia,6,4,3,6,2,3,1,1,.48052344,.79166669,.29166666
1980,Austria,Unlimited protection,.a,1,1,,1,0,0,1,0,1,0,.a,0,.a,0,0,0,0,1,1,0,0,1,4,1,0,4,1,,,,,,,,,,0,4,1,0,1,1,,,,Austria,0,1,4,3,1,2,1,0,.23570226,.33333334,.16666667
